Filename,Predictions
Test_folder/0_Image_0.png,0
Test_folder/0_Image_1003.png,2
Test_folder/0_Image_1010.png,3
Test_folder/0_Image_1023.png,0
Test_folder/0_Image_1030.png,0
Test_folder/0_Image_1046.png,6
Test_folder/0_Image_1053.png,0
Test_folder/0_Image_1054.png,0
Test_folder/0_Image_1058.png,0
Test_folder/0_Image_1067.png,0
Test_folder/0_Image_1081.png,2
Test_folder/0_Image_1086.png,0
Test_folder/0_Image_1097.png,3
Test_folder/0_Image_110.png,0
Test_folder/0_Image_1103.png,0
Test_folder/0_Image_1104.png,6
Test_folder/0_Image_112.png,0
Test_folder/0_Image_1127.png,0
Test_folder/0_Image_1128.png,2
Test_folder/0_Image_113.png,0
Test_folder/0_Image_1135.png,0
Test_folder/0_Image_1146.png,4
Test_folder/0_Image_1147.png,0
Test_folder/0_Image_1148.png,6
Test_folder/0_Image_1149.png,4
Test_folder/0_Image_1150.png,0
Test_folder/0_Image_1152.png,3
Test_folder/0_Image_1161.png,6
Test_folder/0_Image_1169.png,0
Test_folder/0_Image_119.png,0
Test_folder/0_Image_1196.png,0
Test_folder/0_Image_1211.png,0
Test_folder/0_Image_1231.png,0
Test_folder/0_Image_1244.png,0
Test_folder/0_Image_125.png,2
Test_folder/0_Image_1262.png,0
Test_folder/0_Image_1275.png,0
Test_folder/0_Image_1281.png,0
Test_folder/0_Image_1282.png,2
Test_folder/0_Image_1287.png,0
Test_folder/0_Image_1290.png,0
Test_folder/0_Image_1299.png,4
Test_folder/0_Image_1303.png,0
Test_folder/0_Image_1324.png,0
Test_folder/0_Image_133.png,4
Test_folder/0_Image_1335.png,0
Test_folder/0_Image_1340.png,0
Test_folder/0_Image_135.png,0
Test_folder/0_Image_1356.png,0
Test_folder/0_Image_1360.png,0
Test_folder/0_Image_1366.png,4
Test_folder/0_Image_1368.png,0
Test_folder/0_Image_1383.png,0
Test_folder/0_Image_1384.png,0
Test_folder/0_Image_139.png,0
Test_folder/0_Image_14.png,6
Test_folder/0_Image_1408.png,0
Test_folder/0_Image_1415.png,0
Test_folder/0_Image_1421.png,4
Test_folder/0_Image_1427.png,2
Test_folder/0_Image_1431.png,0
Test_folder/0_Image_1437.png,4
Test_folder/0_Image_144.png,6
Test_folder/0_Image_1440.png,0
Test_folder/0_Image_1453.png,4
Test_folder/0_Image_1465.png,0
Test_folder/0_Image_1474.png,0
Test_folder/0_Image_1476.png,0
Test_folder/0_Image_1479.png,1
Test_folder/0_Image_1489.png,0
Test_folder/0_Image_1495.png,4
Test_folder/0_Image_1498.png,0
Test_folder/0_Image_1499.png,0
Test_folder/0_Image_1505.png,6
Test_folder/0_Image_1511.png,0
Test_folder/0_Image_1529.png,0
Test_folder/0_Image_1531.png,0
Test_folder/0_Image_1537.png,2
